8927,49,4.5
9393,447,2.5
20891,752,2.5
9492,44,2.5
4119,1157,2
967,680,3.5
16525,297,4.5
13600,118,4.5
11383,35,4.5
6903,118,5
2005,1307,2.5
117,1945,3.5
9556,321,2.5
540,39,3.5
3096,692,3.5
2834,77,3.5
1486,78,4
25551,135,4.5
4912,222,3.5
13047,32,5
13775,82,5
13414,27,4.5
16397,198,4.5
6050,50,4.5
1833,341,2.5
12827,58,4.5
20778,169,3
7158,1190,3.5
1832,87,4.5
22116,31,5
7021,250,2.5
18533,1,4
3051,56,3.5
21478,1136,4
10329,486,3
12132,1522,4
11496,250,2.5
24306,68,3
3851,910,3.5
9961,109,3.5
12726,401,3.5
4293,501,2.5
255,658,3
4995,142,4.5
25473,173,4.5
3192,1026,4.5
10544,332,3.5
15236,198,4.5
10828,324,2.5
7328,158,4
10301,896,3.5
1194,589,2
127,817,2
10678,178,4.5
29850,251,4.5
7761,2905,3
11571,239,3
25638,486,3.5
836,623,4.5
287,167,4.5
448,1817,3.5
5539,657,3.5
7190,963,0.5
2202,739,2
2015,11,4.5
4890,625,2
18452,61,3
1268,158,1
8667,3,2.5
8029,226,3.5
1943,33,2
15311,125,4.5
8720,664,3.5
8823,6,3.5
1987,139,1.5
4791,60,5
4979,527,4
8748,598,4.5
7311,118,5
2260,20,4.5
2283,419,2
30346,250,2
12813,158,4.5
2143,744,3.5
17031,496,3.5
5764,752,4
949,252,4.5
15040,140,2.5
16906,106,4.5
32124,191,2
15890,146,4
5848,153,2.5
1080,207,4
5603,697,4
4708,162,3.5
8162,77,4.5
7804,116,4.5
470,2528,4.5
357,854,1.5
8932,777,4.5
8965,643,4
2321,273,5
1732,1124,3
28685,239,3.5
31155,338,3.5
15226,92,3.5
740,71,4
6871,800,0.5
17387,181,3
4431,149,0.5
12800,181,4.5
6846,934,3.5
902,443,1.5
36,589,1.5
22793,450,4.5
1817,30,3.5
4993,171,2.5
15220,697,3.5
2405,20,1.5
2167,447,3.5
10301,1584,2
16054,1277,3
750,201,4.5
15237,1837,3.5
22879,118,3.5
9550,99,3
20484,30,3
7550,368,4.5
3411,11,4.5
14927,179,4
3121,488,5
5767,39,4.5
5723,1409,4.5
31594,31,3.5
2397,146,2.5
651,629,2.5
3857,3800,5
8880,442,3
3747,44,4.5
7591,813,2.5
1813,149,3.5
13962,244,4.5
5323,58,2.5
26710,354,4.5
7528,31,4.5
33121,6,4.5
3886,71,5
4368,93,4.5
1391,637,4.5
15586,262,3
1738,365,4.5
16480,444,2.5
7407,13,3.5
8965,1111,4.5
8602,631,3.5
8695,99,2.5
3507,322,3.5
4883,442,2
23042,223,1.5
24693,916,3.5
6142,96,3
931,96,1.5
20278,140,3.5
17151,198,3.5
2401,262,3
10291,114,4.5
6875,547,4.5
15163,322,3.5
942,3808,1
4623,347,4.5
867,261,5
10004,131,1.5
1998,64,4.5
9077,135,3.5
25855,33,5
9039,27,4.5
5225,135,4.5
716,934,4.5
13086,32,3.5
2845,315,4.5
22143,143,4
9693,117,2.5
11497,103,3.5
30144,207,2.5
4840,263,4.5
10600,310,3.5
8726,529,3.5
2147,198,4.5
5020,261,3.5
2006,327,2
16283,1086,4.5
14956,127,2.5
12845,894,3.5
18445,122,4
6426,96,3.5
3500,363,1.5
17449,210,2.5
2435,662,4.5
2028,50,3
1518,354,5
3680,50,1.5
14303,6,3.5
15906,87,2.5
14094,828,4
15860,487,0.5
2962,198,3.5
15416,522,3.5
1579,10,4.5
6017,1233,4
27158,117,4
28954,8,4.5
3629,401,2.5
13917,13,3.5
89,65,3.5
18081,118,4.5
27387,109,4.5
8383,53,3.5
15358,84,3.5
1501,245,2.5
4594,176,1.5
4974,486,3.5
23360,596,3.5
640,222,4.5
3036,104,4.5
2664,135,4.5
844,1022,0
5694,96,3
1819,1036,3.5
87,1047,2.5
5415,88,3.5
3776,837,2.5
6426,74,3.5
5753,641,4.5
10206,50,2.5
516,135,4.5
23256,220,3.5
5387,27,3.5
5225,638,3.5
14353,338,3.5
5818,22,3.5
7543,74,4
17057,136,4.5
1068,135,4.5
10586,111,5
4714,118,2.5
11059,327,3.5
9730,35,4
3820,15,3.5
7864,178,4
1053,803,4.5
13891,125,3.5
5186,26,4.5
326,221,4.5
2437,61,3.5
1265,222,3
1370,1633,5
883,1155,4
3849,135,4
24599,32,3.5
6193,450,2
6310,501,5
409,353,2.5
22854,151,4.5
12632,142,4.5
1709,118,4
19184,3,2.5
3775,170,3.5
2510,521,4.5
16624,471,1.5
19532,81,2.5
2616,487,3
14534,1517,3.5
957,1309,4.5
3395,524,1.5
3694,850,2
7182,225,4.5
11239,226,3
5742,1181,0.5
1694,182,4
1201,3174,4.5
28617,181,4.5
16298,937,4.5
144,11,4.5
19825,744,4.5
8273,616,4
5254,2554,3.5
46,72,3.5
7717,1785,2.5
29476,871,4.5
3272,135,3.5
4280,321,3.5
18029,775,2.5
8432,1192,3.5
28419,526,4.5
9743,220,2
22107,67,5
8814,481,3
7474,842,2.5
14852,41,4.5
4777,118,4
13146,75,5
5414,297,2
19704,50,4.5
17187,31,4.5
7835,2080,2.5
5633,169,3.5
1117,63,4
1002,555,4
1458,243,4
23806,2117,3.5
21728,68,3.5
520,103,3
4656,2447,2.5
7772,50,4
26747,118,4.5
4683,80,4.5
2347,1146,3.5
31177,80,4
9372,58,4.5
3470,1158,4
14962,23,3.5
4150,1819,0.5
2782,485,1
15220,182,3.5
19252,194,4
14165,296,2
19834,338,4.5
4513,168,1.5
3125,1854,3
3596,298,3.5
23627,30,3.5
2405,839,1
1194,61,4
2512,985,4
15517,240,3.5
16624,815,2.5
3142,815,3.5
10516,758,4.5
1814,985,4.5
11552,106,0.5
17837,41,3.5
932,67,4.5
12145,98,1.5
42,6,3.5
13150,201,3.5
7570,338,2
10419,972,4
4505,382,2.5
1335,894,5
6178,191,2
7941,123,5
67,637,4.5
204,127,3
9557,1826,3
8938,26,1.5
14429,140,3.5
307,873,4.5
6702,223,3
34411,49,4.5
754,960,3.5
3582,870,3
8876,826,4
8557,2550,4.5
14364,127,4
52,1506,1.5
110,599,4.5
2868,60,4.5
9066,628,2.5
1833,713,4
13691,131,2.5
2356,119,4
542,215,3.5
376,72,3.5
5915,839,4
6286,72,4.5
1724,1228,4
10965,244,3.5
2816,844,4.5
2097,515,2.5
5655,409,2.5
6502,333,4.5
415,1446,3.5
6738,966,4.5
29618,220,3.5
2814,920,3.5
3011,60,2.5
12127,121,4
25462,253,3
19879,135,4.5
32446,27,2.5
1869,3,3.5
15307,832,3.5
3261,131,3.5
3874,486,1.5
11205,49,4.5
7235,36,4.5
3052,645,3.5
6367,282,1
9174,61,4.5
3582,63,2.5
25596,3,3.5
19215,406,5
703,807,3.5
1093,1598,1
739,313,3.5
2039,167,3.5
23912,445,2
11998,374,4.5
22131,117,0.5
5037,2925,2
13249,198,4
2093,226,4
9733,638,4.5
2358,1861,1.5
516,2357,3
42,10,5
1428,99,4.5
17648,10,4.5
1664,283,4.5
3459,8,3
4357,99,4.5
728,56,4.5
3542,833,3.5
8711,337,4.5
2004,1347,2.5
4140,583,3
15983,414,4.5
2100,61,4.5
7079,1039,4.5
5415,336,4.5
9238,135,5
1475,1676,4
10245,87,3.5
5114,333,4
12283,60,4
3059,1156,3.5
23794,255,4.5
5653,11,4.5
285,462,3.5
12640,800,4.5
18901,299,4.5
12166,49,4.5
5641,106,4.5
